Time,Intensity,Incidence,Polarization Angle,Wavelength
2006-12-25 15:13:25.157000+00:00,0.013301289,75.149421175133,0,441
2006-12-25 15:14:37.157000+00:00,0.021839293,75.147149134219,60,441
2006-12-25 15:15:49.156000+00:00,0.021184152,75.144880094609,120,441
2006-12-25 15:16:37.560000+00:00,0.045065843,75.14335631805,120,569
2006-12-25 15:17:10.560000+00:00,0.050939772,75.142318234952,60,569
2006-12-25 15:17:43.560000+00:00,0.027966693,75.14128077587,0,569
2006-12-25 15:18:29.363000+00:00,0.040619042,75.139841848286,0,619
2006-12-25 15:19:17.363000+00:00,0.062836803,75.138335190856,60,619
2006-12-25 15:20:05.363000+00:00,0.058912899,75.136829853916,120,619
2006-12-25 15:22:25.134000+00:00,0.083817661,75.13245399132,IR,750
2006-12-25 15:27:37.125000+00:00,0.059681229,75.122726778449,IR,727
2006-12-25 15:29:47.131000+00:00,0.098537065,75.118689946838,IR,938
2007-03-12 22:39:25.757000+00:00,0.0006373311,92.313579200379,120,619
2007-03-29 00:28:02.048000+00:00,0.002751515,91.016446842844,120,343
2007-03-29 00:29:14.048000+00:00,0.002892802,91.007905260192,60,343
2007-03-29 00:30:26.047000+00:00,0.0022131398,90.999364911045,0,343
2007-03-29 00:32:01.055000+00:00,0.0034180561,90.988096996795,0,441
2007-03-29 00:33:45.054000+00:00,0.0043545179,90.975764982153,60,441
2007-03-29 00:35:29.053000+00:00,0.0042536445,90.963435299231,120,441
2007-03-29 00:36:13.157000+00:00,0.0095910067,90.958207219582,120,569
2007-03-29 00:36:46.157000+00:00,0.0088641746,90.954295680575,60,569
2007-03-29 00:37:19.057000+00:00,0.0082208738,90.950396228805,0,569
2007-03-29 00:38:03.060000+00:00,0.0094588231,90.945181166429,0,619
2007-03-29 00:38:51.960000+00:00,0.010123923,90.939386221716,60,619
2007-12-23 09:04:54.835000+00:00,0.0010864681,110.7766216549,120,343
2007-12-23 09:06:38.835000+00:00,0.0012344194,110.76374765974,60,343
2007-12-23 09:10:06.833000+00:00,0.0011412499,110.73799418231,0,441
2007-12-23 09:08:22.834000+00:00,0.00093437935,110.75087187589,0,343
2007-12-23 09:11:50.832000+00:00,0.0014768661,110.72511458175,60,441
2007-12-23 09:13:34.832000+00:00,0.0014682324,110.71223295304,120,441
2007-12-23 09:15:13.839000+00:00,0.0017898633,110.69996799951,60,569
2007-12-23 09:14:18.839000+00:00,0.001401864,110.70678159346,120,569
2007-12-23 09:16:08.839000+00:00,0.0015371284,110.69315387446,0,569
2007-12-23 09:17:15.742000+00:00,0.0019751468,110.68486433349,0,619
2007-12-23 09:18:25.741000+00:00,0.0023459503,110.6761903463,60,619
2007-12-23 09:19:35.741000+00:00,0.0020973834,110.66751537717,120,619
2007-12-23 09:27:00.806000+00:00,0.002228399,110.61233928755,IR,727
2007-12-23 09:22:25.316000+00:00,0.002309829,110.64649671262,IR,750
2008-01-08 16:35:19.874000+00:00,0.00062194216,106.81520744398,120,343
2007-12-23 09:28:54.806000+00:00,0.0032839538,110.59820080483,IR,938
2008-01-08 16:36:36.877000+00:00,0.001253497,106.80535500542,60,343
2008-01-08 16:38:15.884000+00:00,0.0015349025,106.79268623554,0,343
2008-01-08 16:40:29.991000+00:00,0.0022947837,106.77552443362,120,569
2008-01-08 16:41:24.995000+00:00,0.0033931667,106.76848495598,60,569
2008-01-08 16:42:19.894000+00:00,0.0033989623,106.76145859046,0,569
2008-01-08 16:43:26.802000+00:00,0.0043155812,106.7528947878,0,619
2008-01-08 16:44:36.801000+00:00,0.0037988178,106.74393484028,60,619
2008-01-08 16:45:46.801000+00:00,0.0028490168,106.73497423752,120,619
2008-01-08 16:48:35.400000+00:00,0.0080454666,106.71338995411,IR,750
2008-01-20 14:31:57.605000+00:00,0.00040764641,126.43198183021,120,343
2008-01-20 14:33:09.604000+00:00,0.0004846598,126.43592501241,60,343
2008-01-20 14:34:48.612000+00:00,0.00027503903,126.44134191176,0,343
2008-01-20 14:36:32.611000+00:00,0.00040999838,126.4470250296,0,441
2008-01-20 14:38:16.610000+00:00,0.0006861249,126.45270112856,60,441
2008-01-20 14:40:00.609000+00:00,0.000632693,126.45837020589,120,441
2008-01-20 14:40:44.713000+00:00,0.00056910032,126.46077223292,120,569
2008-01-20 14:41:39.713000+00:00,0.0006897042,126.46376591622,60,569
2008-01-20 14:42:34.612000+00:00,0.00054399774,126.46675214209,0,569
2008-01-20 14:43:41.516000+00:00,0.00083288259,126.47038873095,0,619
2008-01-20 14:44:51.515000+00:00,0.0011759218,126.47419043502,60,619
2008-01-20 14:46:01.515000+00:00,0.0011085101,126.47798900759,120,619
