Time,Intensity,Phase,Polarization Angle,Wavelength
2012-01-25 00:10:25.913000+00:00,0.13574451,73.383267407724,0,750
2009-03-31 03:30:22.657000+00:00,0.0055609923,106.03407635207,0,569
2010-06-13 13:06:58.051000+00:00,0.059517808,86.367231217986,60,51
2009-03-31 03:31:15.469000,0.0033829222,106.0341328471,120,619
2010-06-13 13:08:00.150000+00:00,0.059211228,86.37428609845,120,51
2009-03-31 03:31:47.468000+00:00,0.0033786998,106.03416708133,60,619
2012-01-25 00:11:56.416000+00:00,0.098112002,73.394968865795,60,750
2005-04-16 10:59:27.983000+00:00,0.0035712423,54.987451613619,90,939
2010-06-25 22:32:12.714000+00:00,0.082559146,56.357930154055,0,51
2009-03-31 03:32:19.468000+00:00,0.0067558172,106.03420131944,0,619
2009-03-31 03:33:48.175000+00:00,0.0031473541,106.03429624521,60,619
2010-06-25 22:34:16.717000+00:00,0.074354313,56.368708292933,120,51
2009-03-31 03:33:16.176000+00:00,0.0028970863,106.03426200048,120,619
2005-04-16 12:20:37.925000,0.00523239,54.983388707358,0,939
2010-06-25 22:33:14.657000+00:00,0.1032587,56.363313965664,60,51
2009-03-31 03:34:20.175000+00:00,0.0067525418,106.03433049382,0,619
2010-06-25 22:35:37.770000,0.067083791,56.375754036124,IR,51
2009-03-31 03:36:26.574000+00:00,0.010698576,106.03446580199,0,750
2010-06-28 22:19:04.872000+00:00,0.07664001,81.702837867442,0,51
2005-04-16 12:22:38.924000+00:00,0.0038502025,54.983664226927,90,939
2009-03-31 03:37:30.574000+00:00,0.0035821155,106.03453432958,120,727
2005-04-16 12:40:32.817000+00:00,0.0021024954,54.98705149046,0,728
2009-03-31 03:38:02.573000+00:00,0.0038828764,106.03456859647,60,727
2010-06-28 22:20:06.655000+00:00,0.050264392,81.709626394014,60,51
2005-04-16 12:42:35.616000+00:00,0.0014743542,54.987551166087,90,728
2009-03-31 03:38:34.573000+00:00,0.0074756029,106.03460286724,0,727
2010-06-28 22:21:08.745000+00:00,0.033718862,81.716449056554,120,51
2009-03-31 03:55:46.027000+00:00,0.00039557135,106.03570901213,120,343
2005-04-16 12:59:49.910000+00:00,0.0019419777,54.992742816116,0,890
2009-03-31 03:56:26.027000+00:00,0.0014344808,106.0357519673,60,343
2009-03-31 03:57:06.026000+00:00,0.0016062022,106.0357949258,0,343
2005-04-16 13:01:50.909000+00:00,0.0012187449,54.993470040627,90,890
2009-03-31 03:58:05.438000+00:00,0.0005883124,106.03585874173,120,441
2005-04-16 13:19:47.902000+00:00,0.0030746784,55.001139724783,0,752
2009-03-31 03:58:37.437000+00:00,0.0023880114,106.03589311669,60,441
2010-06-28 22:22:29.932000,0.066910967,81.725370773807,IR,51
2009-03-31 03:59:09.437000+00:00,0.0026524328,106.03592749553,0,441
2011-03-09 14:16:52.124000+00:00,0.077285036,69.778651309415,120,750
2005-04-16 13:21:49.151000+00:00,0.0020408197,55.002144642182,90,752
2011-03-11 13:59:22.040000+00:00,0.051150396,82.903993875088,0,750
2009-03-31 03:59:48.641000+00:00,0.001679101,106.03596961773,120,569
2011-03-11 14:00:50.043000+00:00,0.06805151,82.911733935516,60,750
2006-01-15 17:59:40.401000+00:00,0.0052952408,141.43013059597,90,939
2011-03-11 14:02:22.046000+00:00,0.061344154,82.919826790065,120,750
2006-02-26 23:21:00.229000+00:00,0.026259514,17.384660912054,90,890
2011-03-29 18:19:16.118000+00:00,0.010297213,81.62060915907,0,750
2006-02-26 23:59:12.465000+00:00,0.06610284,17.334425378746,0,752
2011-03-29 18:20:43.122000+00:00,0.005272775,81.628278400781,60,750
2011-03-29 18:22:17.121000+00:00,0.0032933683,81.636563357439,120,750
2006-02-27 00:18:01.408000+00:00,0.041474141,17.307324883209,90,728
2005-08-21 22:30:04.541000+00:00,0.0034383542,54.676954162975,0,939
2011-04-12 11:03:59.644000+00:00,0.12406859,88.039982977154,0,750
2005-08-21 22:32:04.540000+00:00,0.0049311919,54.668885517339,90,939
2011-04-12 11:05:29.647000+00:00,0.06919422,88.049179208964,60,750
2011-04-12 11:07:03.646000+00:00,0.068664268,88.058785775222,120,750
2011-04-25 17:29:24.395000+00:00,0.13353117,47.536034140612,0,750
2005-09-06 23:34:52.686000+00:00,0.0027265719,51.306869441083,0,890
2011-04-25 17:30:43.895000+00:00,0.13526686,47.543024257454,60,750
2005-09-06 23:36:38.693000+00:00,0.0015978754,51.302776319344,90,890
2011-04-25 17:32:00.394000+00:00,0.14076222,47.54975075511,120,750
2011-05-12 09:41:25.796000+00:00,0.15584479,11.073575245646,0,750
2005-09-06 23:43:04.660000+00:00,0.0067570307,51.287739936424,0,939
2005-09-06 23:44:50.663000+00:00,0.0045105326,51.283572783026,90,939
2005-09-07 00:30:30.634000+00:00,0.0074627372,51.169474633694,0,939
2006-05-20 17:58:05.730000+00:00,0.0011610418,85.279319204778,0,890
2005-09-07 00:33:03.633000+00:00,0.0052777999,51.162695228852,90,939
2006-05-20 17:59:54.738000+00:00,0.00085372163,85.268149247732,90,890
2006-05-20 18:00:39.991000+00:00,0.001407887,85.263544096845,90,752
2005-12-26 13:29:45.578000+00:00,0.016169911,25.128670868943,90,890
2006-05-20 18:01:18.845000+00:00,0.002152876,85.259604919962,0,752
2005-12-26 13:36:10.575000+00:00,0.016810505,25.007431658159,0,890
2006-05-20 18:03:15.760000+00:00,0.0014777203,85.247833160992,0,728
2005-12-26 13:49:27.820000+00:00,0.029595949,24.742145730211,90,752
2006-05-20 18:03:59.864000+00:00,0.0011022809,85.243423974079,90,728
2005-12-26 13:55:27.818000+00:00,0.031527076,24.615591240036,0,752
2006-05-20 18:56:24.704000+00:00,0.0013361061,84.967177479102,0,890
2006-05-20 18:58:13.708000+00:00,0.00086243713,84.958760839752,90,890
2005-12-26 14:07:35.763000+00:00,0.022372311,24.34560359699,90,728
2006-05-20 18:58:58.965000+00:00,0.0014113154,84.955285935185,90,752
2006-05-20 18:59:38.119000+00:00,0.0017669036,84.952288816674,0,752
2006-05-20 19:01:34.734000+00:00,0.0013932382,84.943412360994,0,728
2006-01-15 17:57:54.394000+00:00,0.0036463784,141.43707518801,0,939
2006-05-20 19:02:18.837000+00:00,0.0010069014,84.94007471448,90,728
2007-03-26 09:09:46.906000+00:00,0.0013423015,52.060793003779,90,752
2006-05-20 20:28:47.673000+00:00,0.0012318672,84.607653105138,0,890
2006-05-20 20:30:48.680000+00:00,0.00067087985,84.601058851283,90,890
2007-03-26 09:10:32.110000+00:00,0.00051677384,52.059615436384,0,728
2006-05-20 20:32:11.087000+00:00,0.0017532042,84.596592585058,0,752
2007-03-26 09:11:13.217000+00:00,0.00089477631,52.058545500718,90,728
2006-05-20 20:31:32.084000+00:00,0.0010787304,84.598703997481,90,752
2006-05-20 20:34:07.702000+00:00,0.001142221,84.590305849057,0,728
2006-05-20 20:34:51.806000+00:00,0.00093917357,84.58793834561,90,728
2006-03-19 05:44:26.147000+00:00,0.00082323409,114.07769924334,90,890
2007-10-01 18:46:32.850000+00:00,0.11533473,151.37303283253,0,939
2006-05-20 21:12:02.656000+00:00,0.001099362,84.474888331556,0,890
2007-10-01 18:47:52.853000+00:00,0.10414602,151.36957412764,90,939
2006-03-19 05:45:54.150000+00:00,0.00043682737,114.06891763009,0,890
2007-10-01 18:50:09.268000+00:00,0.011775477,151.36365282926,90,728
2006-05-20 21:14:03.663000+00:00,0.00072791718,84.469102806296,90,890
2006-03-19 05:47:40.654000+00:00,0.00098825083,114.05838103458,90,752
2006-05-20 21:14:47.067000+00:00,0.0011514439,84.467035612074,90,752
2007-10-01 18:51:15.638000+00:00,0.012153951,151.36076100621,0,752
2006-05-20 21:15:25.771000+00:00,0.0015303351,84.46519580997,0,752
2006-03-19 05:48:19.558000+00:00,0.00027616895,114.05455681824,0,752
2007-10-01 18:50:42.268000+00:00,0.0090044746,151.36221587756,0,728
2006-05-20 21:17:22.686000+00:00,0.001023304,84.459658404978,0,728
2006-03-19 05:49:33.869000+00:00,0.00040946653,114.04728834332,90,728
2007-10-01 18:51:48.638000+00:00,0.016091865,151.35932047251,90,752
2006-03-19 05:50:19.072000+00:00,0.00018576242,114.04289003512,0,728
2006-03-19 12:47:25.970000+00:00,0.00052273745,112.78980510029,90,890
2006-03-19 12:48:53.973000+00:00,0.00013391628,112.78723720237,0,890
2006-03-19 12:50:40.477000+00:00,0.00059705909,112.78413738975,90,752
2006-03-19 12:52:33.691000+00:00,0.00031843013,112.78085176223,90,728
2006-03-19 12:51:19.384000+00:00,0.00029698524,112.78300715554,0,752
2006-04-30 14:28:10.300000+00:00,0.067113079,34.472846301437,0,752
2006-04-30 14:34:25.298000+00:00,0.086039849,34.501410752182,90,752
2006-03-19 12:53:18.895000+00:00,0.00020588982,112.77954259599,0,728
2006-04-30 17:09:14.766000+00:00,0.02677493,35.681641476493,0,890
